Language	ISO code	Datasets	Models
English English	en	807	26437
German Deutsch	de	115	951
French Français	fr	115	1145
Spanish Español	es	111	2152
Russian Русский	ru	97	417
Arabic اللغة العربية	ar	93	633
Portuguese Português	pt	90	509
Polish język polski	pl	87	177
Italian Italiano	it	84	471
Dutch Nederlands	nl	84	323
Chinese 中文	zh	83	1514
Turkish Türkçe	tr	78	419
Catalan Català	ca	69	161
Finnish suomi	fi	68	324
Romanian Română	ro	66	133
Swedish Svenska	sv	66	380
Korean 한국어	ko	65	280
Danish dansk	da	64	143
Greek Ελληνικά	el	61	113
Czech čeština	cs	59	118
Japanese 日本語	ja	58	712
Thai ไทย	th	57	153
Hungarian magyar	hu	56	106
Indonesian Bahasa Indonesia	id	56	287
Bulgarian български език	bg	55	125
Hindi हिन्दी	hi	55	371
Estonian eesti	et	53	162
Slovenian slovenski jezik	sl	53	104
Vietnamese Tiếng Việt	vi	51	167
Latvian latviešu valoda	lv	48	80
Lithuanian lietuvių kalba	lt	47	96
Bengali বাংলা	bn	45	806
Croatian Hrvatski	hr	45	95
Slovak slovenčina	sk	45	74
Persian فارسی	fa	44	212
Tamil தமிழ்	ta	44	117
Urdu اردو	ur	44	130
Hebrew עברית	he	42	97
Ukrainian Українська	uk	42	236
Telugu తెలుగు	te	40	95
Basque euskara	eu	39	91
Maltese Malti	mt	38	63
Serbian српски језик	sr	37	72
Icelandic Íslenska	is	36	126
Afrikaans Afrikaans	af	35	79
Malayalam മലയാളം	ml	35	89
Irish Gaeilge	ga	34	61
Swahili Kiswahili	sw	34	115
Marathi मराठी	mr	32	129
Norwegian Norsk	no	32	140
Tagalog Wikang Tagalog	tl	32	61
Georgian ქართული	ka	31	58
Welsh Cymraeg	cy	30	66
Galician galego	gl	30	68
Belarusian беларуская мова	be	29	78
Esperanto Esperanto	eo	29	89
Malay Bahasa Malaysia	ms	29	59
Sinhala සිංහල	si	29	78
Armenian Հայերեն	hy	28	52
Kannada ಕನ್ನಡ	kn	28	79
Macedonian македонски јазик	mk	28	68
Breton brezhoneg	br	27	36
Kazakh қазақ тілі	kk	27	52
Khmer ខេមរភាសា	km	27	49
Albanian Shqip	sq	27	42
Gujarati ગુજરાતી	gu	26	104
Burmese ဗမာစာ	my	26	54
Nepali नेपाली	ne	26	83
Yoruba Yorùbá	yo	26	96
Azerbaijani azərbaycan dili	az	25	51
Mongolian Монгол хэл	mn	24	72
Tatar татар теле	tt	24	18
Uzbek Ўзбек	uz	24	44
Bosnian bosanski jezik	bs	23	28
Hausa هَوُسَ	ha	23	74
Igbo Asụsụ Igbo	ig	23	88
Kyrgyz Кыргызча	ky	23	45
Latin latine	la	23	31
